Arquitetura;Precisão;duration;carbono_g;emissions;emissions_rate;cpu_power;gpu_power;cpu_energy;gpu_energy;ram_energy;energy_consumed;energia_consumida_wh;energia_W
VGG;FP32;2047,780514;9,245381;0,009245381;4,51E-06;25,1353011;174,1773147;0,014244484;0,076498085;0,003264237;0,094006805;94,006805;53,47369541
VGG;FP16;1909,380045;8,5497;0,0085497;4,48E-06;25,46286901;118,3206773;0,015149486;0,068740012;0,003043638;0,086933136;86,933136;46,10788754
VGG;FP16;1911,314122;8,377726;0,008377726;4,38E-06;25,29857618;81,165616;0,013323843;0,068813959;0,003046704;0,085184507;85,184507;45,22620867
VGG;FP16;1910,114171;8,372645;0,008372645;4,38E-06;25,26668225;105,0948918;0,013305218;0,06878279;0,003044835;0,085132844;85,132844;45,17040326
VGG;FP16;1909,518698;8,377984;0,008377984;4,39E-06;25,4411521;147,8688872;0,013296723;0,068846553;0,003043854;0,085187129;85,187129;45,18511546
VGG;FP16;1913,308028;8,364135;0,008364135;4,37E-06;25,21687236;111,1663897;0,013312456;0,068683937;0,003049924;0,085046317;85,046317;45,19994474
VGG;FP16;1912,033564;8,397916;0,008397916;4,39E-06;25,27702254;104,3856804;0,013280592;0,069061341;0,003047861;0,085389795;85,389795;45,35226502
VGG;FP16;1911,08755;8,387525;0,008387525;4,39E-06;25,32678505;161,6340551;0,013309329;0,068928432;0,003046383;0,085284144;85,284144;45,2737405
VGG;FP16;1910,6849;8,371508;0,008371508;4,38E-06;25,28804793;110,7893531;0,013329544;0,068745986;0,003045756;0,085121286;85,121286;45,17776551
VGG;FP16;1911,973965;8,413403;0,008413403;4,40E-06;25,13099278;88,65588844;0,013301969;0,069197487;0,003047815;0,08554727;85,54727;45,43448695
VGG;FP16;1911,131296;8,379955;0,008379955;4,38E-06;25,1610616;149,2765876;0,013291175;0,068869577;0,003046422;0,085207174;85,207174;45,2339158
ResNet;FP32;4498,798711;20,520661;0,020520661;4,56E-06;28,79872048;152,5668559;0,032809772;0,168672203;0,007171596;0,208653571;208,653571;260,7473379
ResNet;FP32;4500,406164;20,819547;0,020819547;4,63E-06;24,68586064;162,8393315;0,031832437;0,172685989;0,007174205;0,21169263;211,69263;264,6396714
ResNet;FP32;4497,79044;20,440128;0,020440128;4,54E-06;25,0816284;133,7312377;0,031479732;0,169185052;0,007169923;0,207834707;207,834707;259,6658217
ResNet;FP32;4497,091191;21,073968;0,021073968;4,69E-06;24,96714377;150,8052565;0,03289415;0,174216607;0,007168819;0,214279577;214,279577;267,6763328
ResNet;FP32;4499,344148;20,907386;0,020907386;4,65E-06;25,00039113;115,7020505;0,032359233;0,17305413;0,007172414;0,212585776;212,585776;265,6934909
ResNet;FP32;4498,31005;20,871228;0,020871228;4,64E-06;25,1072979;139,5290878;0,031434618;0,173612728;0,007170773;0,212218119;212,218119;265,1730271
ResNet;FP32;4500,073176;20,828003;0,020828003;4,63E-06;27,55325947;124,7496648;0,032851626;0,17175354;0,007173445;0,211778611;211,778611;264,7275685
ResNet;FP32;4502,06588;20,807398;0,020807398;4,62E-06;25,01941247;135,2631156;0,032518954;0,171873334;0,007176809;0,211569097;211,569097;264,5827814
ResNet;FP32;4501,397018;20,694952;0,020694952;4,60E-06;24,96008509;114,6003062;0,031458587;0,171791524;0,007175642;0,210425753;210,425753;263,1138492
ResNet;FP32;4496,969287;20,777416;0,020777416;4,62E-06;25,0380889;124,746556;0,031778237;0,172317296;0,007168708;0,211264242;211,264242;263,9024466
ResNet;FP16;3070,948457;13,961337;0,013961337;4,55E-06;25,05816597;109,5452652;0,022963819;0,114099352;0,004895357;0,141958529;141,958529;121,0964793
ResNet;FP16;3071,522816;13,811042;0,013811042;4,50E-06;24,97835205;173,0668769;0,021329651;0,11420434;0,004896341;0,140430332;140,430332;119,8152691
ResNet;FP16;3072,229792;13,942832;0,013942832;4,54E-06;25,05274088;143,8620663;0,021992961;0,114879964;0,004897442;0,141770367;141,770367;120,9864292
ResNet;FP16;3069,989881;13,873725;0,013873725;4,52E-06;25,05649649;103,7866371;0,021586398;0,114587466;0,004893823;0,141067687;141,067687;120,2989921
ResNet;FP16;3071,51651;13,89047;0,01389047;4,52E-06;25,03267621;172,5158554;0,02207712;0,114264543;0,004896288;0,14123795;141,23795;120,504082
ResNet;FP16;3071,347447;13,907058;0,013907058;4,53E-06;25,10824357;153,5853881;0,021752106;0,114758505;0,004896008;0,141406618;141,406618;120,6413487
ResNet;FP16;3072,538073;13,806297;0,013806297;4,49E-06;25,10062396;104,5688523;0,021355983;0,114128119;0,004897976;0,140382077;140,382077;119,8136879
ResNet;FP16;3071,729408;13,922351;0,013922351;4,53E-06;25,0281553;125,3336772;0,021407729;0,115257735;0,004896654;0,141562118;141,562118;120,7890336
ResNet;FP16;3071,345413;13,895182;0,013895182;4,52E-06;24,96600989;124,2641354;0,021332559;0,115057286;0,004896013;0,141285858;141,285858;120,5382422
ResNet;FP16;3071,853381;13,874727;0,013874727;4,52E-06;25,06168594;156,3939954;0,021378535;0,114802532;0,004896814;0,141077882;141,077882;120,3807136
